Segment Type,"Data_Partner_KVP__
_lp_no_special_characters_-_case_sensitive_rp_","Data Partner Segment Name 
(Tier 1)","Data Partner Segment Name 
(Tier 2)","Data Partner Segment Name 
(Tier 3)","Data Partner Segment Name
(Tier 4)",Brand Safety,Date Added, Segment Status,NOTES,DSP Example Output,version (temporary)
IAB-Category,sr_mentalhealth,Medical Health,Diseases and Conditions,Mental Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Mental Health,v1
IAB-Category,sr_mergersandacquisitions,Business and Finance,Business,Business Banking & Finance,Mergers and Acquisitions,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance | Mergers and Acquisitions,v1
IAB-Category,sr_metalsindustry,Business and Finance,Industries,Metals Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Metals Industry,v1
IAB-Category,sr_microcar,Automotive,Auto Body Styles,Microcar,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Microcar,v1
IAB-Category,sr_minivan,Automotive,Auto Body Styles,Minivan,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Minivan,v1
IAB-Category,sr_mmos,Video Gaming,Video Game Genres,MMOs,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | MMOs,v1
IAB-Category,sr_mobilegames,Video Gaming,Mobile Games,,,N/A,10/3/24,New,,Video Gaming | Mobile Games,v1
IAB-Category,sr_modeltoys,Hobbies & Interests,Model Toys,,,N/A,10/3/24,New,,Hobbies & Interests | Model Toys,v1
IAB-Category,sr_modernart,Fine Art,Modern Art,,,N/A,10/3/24,New,,Fine Art | Modern Art,v1
IAB-Category,sr_motorcycles,Automotive,Motorcycles,,,N/A,10/3/24,New,,Automotive | Motorcycles,v1
IAB-Category,sr_motorcyclesports,Sports,Auto Racing,Motorcycle Sports,,N/A,10/3/24,New,,Sports | Auto Racing | Motorcycle Sports,v1
IAB-Category,sr_motorinsurance,Personal Finance,Insurance,Motor Insurance,,N/A,10/3/24,New,,Personal Finance | Insurance | Motor Insurance,v1
IAB-Category,sr_movies,Entertainment,Movies,,,N/A,10/3/24,New,,Entertainment | Movies,v1
IAB-Category,sr_museums_and_galleries,Attractions,Museums & Galleries,,,N/A,10/3/24,updated,,Attractions | Museums & Galleries,v1
IAB-Category,sr_music,Entertainment,Music,,,N/A,10/3/24,New,,Entertainment | Music,v1
IAB-Category,sr_musicalinstruments,Hobbies & Interests,Musical Instruments,,,N/A,10/3/24,New,,Hobbies & Interests | Musical Instruments,v1
IAB-Category,sr_musicals,Genres,Musical,,,N/A,10/3/24,New,,Genres | Musical,v1
IAB-Category,sr_musicandpartyvideogames,Video Gaming,Video Game Genres,Music and Party Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Music and Party Video Games,v1
IAB-Category,sr_musicvideo,Genres,Music Video,,,N/A,10/3/24,New,,Genres | Music Video,v1
IAB-Category,sr_mutualfunds,Personal Finance,Personal Investing,Mutual Funds,,N/A,10/3/24,New,,Personal Finance | Personal Investing | Mutual Funds,v1
IAB-Category,sr_mystery,Genres,Mystery,,,N/A,10/3/24,New,,Genres | Mystery,v1
IAB-Category,sr_nailcare,Style & Fashion,Beauty,Nail Care,,N/A,10/3/24,New,,Style & Fashion | Beauty | Nail Care,v1
IAB-Category,sr_national_and_civicholidays,Holidays,National & Civic Holidays,,,N/A,10/3/24,updated,,Holidays | National & Civic Holidays,v1
IAB-Category,sr_naturalandorganicbeauty,Style & Fashion,Beauty,Natural and Organic Beauty,,N/A,10/3/24,New,,Style & Fashion | Beauty | Natural and Organic Beauty,v1
IAB-Category,sr_nature,Genres,,,,N/A,10/3/24,New,,Genres,v1
IAB-Category,sr_needlework,Hobbies & Interests,Arts and Crafts,Needlework,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Needlework,v1
IAB-Category,sr_nightclubs,Attractions,Nightclubs,,,N/A,10/3/24,New,,Attractions | Nightclubs,v1
IAB-Category,sr_non_d_alcoholicbeverages,Food & Drink,Non-Alcoholic Beverages,,,N/A,10/3/24,updated,,Food & Drink | Non-Alcoholic Beverages,v1
IAB-Category,sr_non_d_profitorganizations,Business and Finance,Industries,Non-Profit Organizations,,N/A,10/3/24,updated,,Business and Finance | Industries | Non-Profit Organizations,v1
IAB-Category,sr_northamericatravel,Travel,Travel Locations,North America Travel,,N/A,10/3/24,New,,Travel | Travel Locations | North America Travel,v1
IAB-Category,sr_nutrition,Healthy Living,Nutrition,,,N/A,10/3/24,New,,Healthy Living | Nutrition,v1
IAB-Category,sr_obscenityandprofanity,Sensitive Topics,Obscenity and Profanity,,,N/A,10/3/24,New,,Sensitive Topics | Obscenity and Profanity,v1
IAB-Category,sr_off_d_roadvehicles,Automotive,Auto Body Styles,Off-Road Vehicles,,N/A,10/3/24,updated,,Automotive | Auto Body Styles | Off-Road Vehicles,v1
IAB-Category,sr_officeproperty,Real Estate,Office Property,,,N/A,10/3/24,New,,Real Estate | Office Property,v1
IAB-Category,sr_oldies_adultstandards,Music,Oldies/Adult Standards,,,N/A,10/3/24,New,,Music | Oldies/Adult Standards,v1
IAB-Category,sr_olympicsports,Sports,Olympic Sports,,,N/A,10/3/24,New,,Sports | Olympic Sports,v1
IAB-Category,sr_onlineeducation,Education,Online Education,,,N/A,10/3/24,New,,Education | Online Education,v1
IAB-Category,sr_onlinepiracy,Sensitive Topics,Online Piracy,,,N/A,10/3/24,New,,Sensitive Topics | Online Piracy,v1
IAB-Category,sr_opera,Fine Art,Opera,,,N/A,10/3/24,New,,Fine Art | Opera,v1
IAB-Category,sr_operatingsystems,Technology & Computing,Computing,Computer Software and Applications,Operating Systems,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Operating Systems,v1
IAB-Category,sr_options,Personal Finance,Personal Investing,Options,,N/A,10/3/24,New,,Personal Finance | Personal Investing | Options,v1
IAB-Category,sr_oralcare,Style & Fashion,Personal Care,Oral care,,N/A,10/3/24,New,,Style & Fashion | Personal Care | Oral care,v1
IAB-Category,sr_outdoorattractions,Attractions,Outdoor Activities,,,N/A,10/3/24,New,,Attractions | Outdoor Activities,v1
IAB-Category,sr_outdoordecorating,Home & Garden,Outdoor Decorating,,,N/A,10/3/24,New,,Home & Garden | Outdoor Decorating,v1
IAB-Category,sr_paintball,Sports,Extreme Sports,Paintball,,N/A,10/3/24,New,,Sports | Extreme Sports | Paintball,v1
IAB-Category,sr_painting,Hobbies & Interests,Arts and Crafts,Painting,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Painting,v1
IAB-Category,sr_paranormalphenomena,Hobbies & Interests,Paranormal Phenomena,,,N/A,10/3/24,New,,Hobbies & Interests | Paranormal Phenomena,v1
IAB-Category,sr_parenting,Family and Relationships,Parenting,,,N/A,10/3/24,New,,Family and Relationships | Parenting,v1
IAB-Category,sr_parentingbabiesandtoddlers,Family and Relationships,Parenting,Parenting Babies and Toddlers,,N/A,10/3/24,New,,Family and Relationships | Parenting | Parenting Babies and Toddlers,v1
IAB-Category,sr_parentingchildrenaged4_d_11,Family and Relationships,Parenting,Parenting Children Aged 4-11,,N/A,10/3/24,updated,,Family and Relationships | Parenting | Parenting Children Aged 4-11,v1
IAB-Category,sr_parentingteens,Family and Relationships,Parenting,Parenting Teens,,N/A,10/3/24,New,,Family and Relationships | Parenting | Parenting Teens,v1
IAB-Category,sr_parks,Attractions,Parks & Nature,,,N/A,10/3/24,New,,Attractions | Parks & Nature,v1
IAB-Category,sr_participantsports,Healthy Living,Fitness and Exercise,Participant Sports,,N/A,10/3/24,New,,Healthy Living | Fitness and Exercise | Participant Sports,v1
IAB-Category,sr_partysuppliesanddecorations,Shopping,Party Supplies and Decorations,,,N/A,10/3/24,New,,Shopping | Party Supplies and Decorations,v1
IAB-Category,sr_pcgames,Video Gaming,PC Games,,,N/A,10/3/24,New,,Video Gaming | PC Games,v1
IAB-Category,sr_performancecars,Automotive,Auto Type,Performance Cars,,N/A,10/3/24,New,,Automotive | Auto Type | Performance Cars,v1
IAB-Category,sr_perfumeandfragrance,Style & Fashion,Beauty,Perfume and Fragrance,,N/A,10/3/24,New,,Style & Fashion | Beauty | Perfume and Fragrance,v1
IAB-Category,sr_personalcare,Style & Fashion,Personal Care,,,N/A,10/3/24,New,,Style & Fashion | Personal Care,v1
IAB-Category,sr_personalcelebrations_and_lifeevents,Personal Celebrations & Life Events,,,,N/A,10/3/24,updated,,Personal Celebrations & Life Events,v1
IAB-Category,sr_personaldebt,Personal Finance,Personal Debt,,,N/A,10/3/24,New,,Personal Finance | Personal Debt,v1
IAB-Category,sr_personalfinance,Personal Finance,,,,N/A,10/3/24,New,,Personal Finance,v1
IAB-Category,sr_personalinvesting,Personal Finance,Personal Investing,,,N/A,10/3/24,New,,Personal Finance | Personal Investing,v1
IAB-Category,sr_personalloans,Personal Finance,Personal Debt,Personal Loans,,N/A,10/3/24,New,,Personal Finance | Personal Debt | Personal Loans,v1
IAB-Category,sr_personaltaxes,Personal Finance,Personal Taxes,,,N/A,10/3/24,New,,Personal Finance | Personal Taxes,v1
IAB-Category,sr_petadoptions,Pets,Pet Adoptions,,,N/A,10/3/24,New,,Pets | Pet Adoptions,v1
IAB-Category,sr_petinsurance,Personal Finance,Insurance,Pet Insurance,,N/A,10/3/24,New,,Personal Finance | Insurance | Pet Insurance,v1
IAB-Category,sr_pets,Pets,,,,N/A,10/3/24,New,,Pets,v1
IAB-Category,sr_petsupplies,Pets,Pet Supplies,,,N/A,10/3/24,New,,Pets | Pet Supplies,v1
IAB-Category,sr_pharmaceuticaldrugs,Medical Health,Pharmaceutical Drugs,,,N/A,10/3/24,New,,Medical Health | Pharmaceutical Drugs,v1
IAB-Category,sr_pharmaceuticalindustry,Business and Finance,Industries,Pharmaceutical Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Pharmaceutical Industry,v1
IAB-Category,sr_phoneservices,Personal Finance,Home Utilities,Phone Services,,N/A,10/3/24,New,,Personal Finance | Home Utilities | Phone Services,v1
IAB-Category,sr_photoeditingsoftware,Technology & Computing,Computing,Computer Software and Applications,Photo Editing Software,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Photo Editing Software,v1
IAB-Category,sr_photography,Hobbies & Interests,Arts and Crafts,Photography,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Photography,v1
IAB-Category,sr_physicaltherapy,Healthy Living,Wellness,Physical Therapy,,N/A,10/3/24,New,,Healthy Living | Wellness | Physical Therapy,v1
IAB-Category,sr_physics,Science,Physics,,,N/A,10/3/24,New,,Science | Physics,v1
IAB-Category,sr_pickuptrucks,Automotive,Auto Body Styles,Pickup Trucks,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Pickup Trucks,v1
IAB-Category,sr_poetry,Books and Literature,Poetry,,,N/A,10/3/24,New,,Books and Literature | Poetry,v1
IAB-Category,sr_pokerandprofessionalgambling,Sports,Poker and Professional Gambling,,,N/A,10/3/24,New,,Sports | Poker and Professional Gambling,v1
IAB-Category,sr_polartravel,Travel,Travel Locations,Polar Travel,,N/A,10/3/24,New,,Travel | Travel Locations | Polar Travel,v1
IAB-Category,sr_politicalissues_and_policy,Politics,Political Issues & policy,,,N/A,10/3/24,updated,,Politics | Political Issues & policy,v1
IAB-Category,sr_politics,Politics,,,,N/A,10/3/24,New,,Politics,v1
IAB-Category,sr_popculture,Pop Culture,,,,N/A,10/3/24,New,,Pop Culture,v1
IAB-Category,sr_postgraduateeducation,Education,College Education,Postgraduate Education,,N/A,10/3/24,New,,Education | College Education | Postgraduate Education,v1
IAB-Category,sr_powerandenergyindustry,Business and Finance,Industries,Power and Energy Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Power and Energy Industry,v1
IAB-Category,sr_pregnancy,Medical Health,Diseases and Conditions,Reproductive Health,Pregnancy,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Reproductive Health | Pregnancy,v1
IAB-Category,sr_primaryeducation,Education,Primary Education,,,N/A,10/3/24,New,,Education | Primary Education,v1
IAB-Category,sr_privateequity,Business and Finance,Business,Business Banking & Finance,Private Equity,N/A,10/3/24,New,,Business and Finance | Business | Business Banking & Finance | Private Equity,v1
IAB-Category,sr_privateschool,Education,Private School,,,N/A,10/3/24,New,,Education | Private School,v1
IAB-Category,sr_productivity,Productivity,,,,N/A,10/3/24,New,,Productivity,v1
IAB-Category,sr_professionalschool,Education,College Education,Postgraduate Education,Professional School,N/A,10/3/24,New,,Education | College Education | Postgraduate Education | Professional School,v1
IAB-Category,sr_programminglanguages,Technology & Computing,Computing,Programming Languages,,N/A,10/3/24,New,,Technology & Computing | Computing | Programming Languages,v1
IAB-Category,sr_prom,Personal Celebrations & Life Events,Prom,,,N/A,10/3/24,New,,Personal Celebrations & Life Events | Prom,v1
IAB-Category,sr_publicradio,Genres,Talk Radio,Public Radio,,N/A,10/3/24,New,,Genres | Talk Radio | Public Radio,v1
IAB-Category,sr_publishingindustry,Business and Finance,Industries,Publishing Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Publishing Industry,v1
IAB-Category,sr_puzzlevideogames,Video Gaming,Video Game Genres,Puzzle Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Puzzle Video Games,v1
IAB-Category,sr_r_and_b_soul_funk,Music,R&B/Soul/Funk,,,N/A,10/3/24,New,,Music | R&B/Soul/Funk,v1
IAB-Category,sr_racingvideogames,Video Gaming,Video Game Genres,Racing Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Racing Video Games,v1
IAB-Category,sr_radiocontrol,Hobbies & Interests,Radio Control,,,N/A,10/3/24,New,,Hobbies & Interests | Radio Control,v1
IAB-Category,sr_railtravel,Travel,Travel Type,Rail Travel,,N/A,10/3/24,New,,Travel | Travel Type | Rail Travel,v1
IAB-Category,sr_realestate,Real Estate,,,,N/A,10/3/24,New,,Real Estate,v1
IAB-Category,sr_realestatebuyingandselling,Real Estate,Real Estate Buying and Selling,,,N/A,10/3/24,New,,Real Estate | Real Estate Buying and Selling,v1
IAB-Category,sr_realestateindustry,Business and Finance,Industries,Real Estate Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Real Estate Industry,v1
IAB-Category,sr_realestaterentingandleasing,Real Estate,Real Estate Renting and Leasing,,,N/A,10/3/24,New,,Real Estate | Real Estate Renting and Leasing,v1
IAB-Category,sr_realitytv,Genres,Reality TV,,,N/A,10/3/24,New,,Genres | Reality TV,v1
IAB-Category,sr_recalls,Business and Finance,Business,Consumer Issues,Recalls,N/A,10/3/24,New,,Business and Finance | Business | Consumer Issues | Recalls,v1
IAB-Category,sr_reggae,Music,Reggae,,,N/A,10/3/24,New,,Music | Reggae,v1
IAB-Category,sr_religion_and_spirituality,Religion & Spirituality,,,,N/A,10/3/24,New,,Religion & Spirituality,v1
IAB-Category,sr_religious_lp_musicandaudio_rp_,Music,Religious (Music and Audio),,,N/A,10/3/24,updated,,Music | Religious (Music and Audio),v1
IAB-Category,sr_remodeling_and_construction,Home & Garden,Remodeling & Construction,,,N/A,10/3/24,updated,,Home & Garden | Remodeling & Construction,v1
IAB-Category,sr_remoteworking,Careers,Remote Working,,,N/A,10/3/24,New,,Careers | Remote Working,v1
IAB-Category,sr_reproductivehealth,Medical Health,Diseases and Conditions,Reproductive Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Reproductive Health,v1
IAB-Category,sr_reptiles,Pets,Reptiles,,,N/A,10/3/24,New,,Pets | Reptiles,v1
IAB-Category,sr_resumewritingandadvice,Careers,Job Search,Resume Writing and Advice,,N/A,10/3/24,New,,Careers | Job Search | Resume Writing and Advice,v1
IAB-Category,sr_retailindustry,Business and Finance,Industries,Retail Industry,,N/A,10/3/24,New,,Business and Finance | Industries | Retail Industry,v1
IAB-Category,sr_retailproperty,Real Estate,Retail Property,,,N/A,10/3/24,New,,Real Estate | Retail Property,v1
IAB-Category,sr_retirementplanning,Personal Finance,Retirement Planning,,,N/A,10/3/24,New,,Personal Finance | Retirement Planning,v1
IAB-Category,sr_road_d_sideassistance,Automotive,Road-Side Assistance,,,N/A,10/3/24,updated,,Automotive | Road-Side Assistance,v1
IAB-Category,sr_roadtrips,Travel,Travel Type,Road Trips,,N/A,10/3/24,New,,Travel | Travel Type | Road Trips,v1
IAB-Category,sr_robotics,Technology & Computing,Robotics,,,N/A,10/3/24,New,,Technology & Computing | Robotics,v1
IAB-Category,sr_rockmusic,Music,Rock Music,,,N/A,10/3/24,New,,Music | Rock Music,v1
IAB-Category,sr_rodeo,Sports,Rodeo,,,N/A,10/3/24,New,,Sports | Rodeo,v1
IAB-Category,sr_role_d_playingvideogames,Video Gaming,Video Game Genres,Role-Playing Video Games,,N/A,10/3/24,updated,,Video Gaming | Video Game Genres | Role-Playing Video Games,v1
IAB-Category,sr_roleplayinggames,Hobbies & Interests,Games and Puzzles,Roleplaying Games,,N/A,10/3/24,New,,Hobbies & Interests | Games and Puzzles | Roleplaying Games,v1
IAB-Category,sr_romance,Genres,Romance,,,N/A,10/3/24,New,,Genres | Romance,v1
IAB-Category,sr_rowing,Sports,Rowing,,,N/A,10/3/24,New,,Sports | Rowing,v1
IAB-Category,sr_rugby,Sports,Rugby,,,N/A,10/3/24,New,,Sports | Rugby,v1
IAB-Category,sr_rugbyleague,Sports,Rugby,Rugby League,,N/A,10/3/24,New,,Sports | Rugby | Rugby League,v1
IAB-Category,sr_rugbyunion,Sports,Rugby,Rugby Union,,N/A,10/3/24,New,,Sports | Rugby | Rugby Union,v1
IAB-Category,sr_runningandjogging,Healthy Living,Fitness and Exercise,Running and Jogging,,N/A,10/3/24,New,,Healthy Living | Fitness and Exercise | Running and Jogging,v1
IAB-Category,sr_sailing,Sports,Sailing,,,N/A,10/3/24,New,,Sports | Sailing,v1
IAB-Category,sr_sale_and_leaseback,Business and Finance,Business,Business Banking & Finance,Sale & Lease Back,N/A,10/3/24,updated,,Business and Finance | Business | Business Banking & Finance | Sale & Lease Back,v1
IAB-Category,sr_sales,Business and Finance,Business,Sales,,N/A,10/3/24,New,,Business and Finance | Business | Sales,v1
IAB-Category,sr_salesandpromotions,Shopping,Sales and Promotions,,,N/A,10/3/24,New,,Shopping | Sales and Promotions,v1
IAB-Category,sr_sci_d_fiandfantasy,Hobbies & Interests,Sci-fi and Fantasy,,,N/A,10/3/24,updated,,Hobbies & Interests | Sci-fi and Fantasy,v1
IAB-Category,sr_science,Science,,,,N/A,10/3/24,New,,Science,v1
IAB-Category,sr_sciencefiction,Genres,Science Fiction,,,N/A,10/3/24,New,,Genres | Science Fiction,v1
IAB-Category,sr_scooters,Automotive,Scooters,,,N/A,10/3/24,New,,Automotive | Scooters,v1
IAB-Category,sr_scrapbooking,Hobbies & Interests,Arts and Crafts,Scrapbooking,,N/A,10/3/24,New,,Hobbies & Interests | Arts and Crafts | Scrapbooking,v1
IAB-Category,sr_screenwriting,Hobbies & Interests,Content Production,Screenwriting,,N/A,10/3/24,New,,Hobbies & Interests | Content Production | Screenwriting,v1
IAB-Category,sr_scubadiving,Sports,Extreme Sports,Scuba Diving,,N/A,10/3/24,New,,Sports | Extreme Sports | Scuba Diving,v1
IAB-Category,sr_search,Technology & Computing,Computing,Internet,Search,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Search,v1
IAB-Category,sr_secondaryeducation,Education,Secondary Education,,,N/A,10/3/24,New,,Education | Secondary Education,v1
IAB-Category,sr_sedan,Automotive,Auto Body Styles,Sedan,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Sedan,v1
IAB-Category,sr_seniorhealth,Healthy Living,Senior Health,,,N/A,10/3/24,New,,Healthy Living | Senior Health,v1
IAB-Category,sr_sensitivetopics,Sensitive Topics,,,,N/A,10/3/24,New,,Sensitive Topics,v1
IAB-Category,sr_sexualconditions,Medical Health,Diseases and Conditions,Sexual Health,Sexual Conditions,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Sexual Health | Sexual Conditions,v1
IAB-Category,sr_sexualhealth,Medical Health,Diseases and Conditions,Sexual Health,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Sexual Health,v1
IAB-Category,sr_sharewareandfreeware,Technology & Computing,Computing,Computer Software and Applications,Shareware and Freeware,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications | Shareware and Freeware,v1
IAB-Category,sr_shaving,Style & Fashion,Personal Care,Shaving,,N/A,10/3/24,New,,Style & Fashion | Personal Care | Shaving,v1
IAB-Category,sr_shopping,Shopping,,,,N/A,10/3/24,New,,Shopping,v1
IAB-Category,sr_sikhism,Religion & Spirituality,Sikhism,,,N/A,10/3/24,New,,Religion & Spirituality | Sikhism,v1
IAB-Category,sr_simulationvideogames,Video Gaming,Video Game Genres,Simulation Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Simulation Video Games,v1
IAB-Category,sr_singlelife,Family and Relationships,Single Life,,,N/A,10/3/24,New,,Family and Relationships | Single Life,v1
IAB-Category,sr_skateboarding,Sports,Extreme Sports,Skateboarding,,N/A,10/3/24,New,,Sports | Extreme Sports | Skateboarding,v1
IAB-Category,sr_skiing,Sports,Skiing,,,N/A,10/3/24,New,,Sports | Skiing,v1
IAB-Category,sr_skinanddermatology,Medical Health,Diseases and Conditions,Skin and Dermatology,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Skin and Dermatology,v1
IAB-Category,sr_skincare,Style & Fashion,Beauty,Skin Care,,N/A,10/3/24,New,,Style & Fashion | Beauty | Skin Care,v1
IAB-Category,sr_sleepdisorders,Medical Health,Diseases and Conditions,Sleep Disorders,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Sleep Disorders,v1
IAB-Category,sr_smallandmedium_d_sizedbusiness,Business and Finance,Business,Small and Medium-sized Business,,N/A,10/3/24,updated,,Business and Finance | Business | Small and Medium-sized Business,v1
IAB-Category,sr_smarthome,Home & Garden,Smart Home,,,N/A,10/3/24,New,,Home & Garden | Smart Home,v1
IAB-Category,sr_smartphones,Technology & Computing,Consumer Electronics,Smartphones,,N/A,10/3/24,New,,Technology & Computing | Consumer Electronics | Smartphones,v1
IAB-Category,sr_smokingcessation,Healthy Living,Wellness,Smoking Cessation,,N/A,10/3/24,New,,Healthy Living | Wellness | Smoking Cessation,v1
IAB-Category,sr_snooker_pool_billiards,Sports,Snooker/Pool/Billiards,,,N/A,10/3/24,New,,Sports | Snooker/Pool/Billiards,v1
IAB-Category,sr_snowboarding,Sports,Extreme Sports,Snowboarding,,N/A,10/3/24,New,,Sports | Extreme Sports | Snowboarding,v1
IAB-Category,sr_soapopera,Genres,Soap Opera,,,N/A,10/3/24,New,,Genres | Soap Opera,v1
IAB-Category,sr_soccer,Sports,Soccer,,,N/A,10/3/24,New,,Sports | Soccer,v1
IAB-Category,sr_socialnetworking,Technology & Computing,Computing,Internet,Social Networking,N/A,10/3/24,New,,Technology & Computing | Computing | Internet | Social Networking,v1
IAB-Category,sr_softacmusic,Music,Adult Contemporary Music,Soft AC Music,,N/A,10/3/24,New,,Music | Adult Contemporary Music | Soft AC Music,v1
IAB-Category,sr_softball,Sports,Softball,,,N/A,10/3/24,New,,Sports | Softball,v1
IAB-Category,sr_softrock,Music,Rock Music,Soft Rock,,N/A,10/3/24,New,,Music | Rock Music | Soft Rock,v1
IAB-Category,sr_softwareandapplications,Technology & Computing,Computing,Computer Software and Applications,,N/A,10/3/24,New,,Technology & Computing | Computing | Computer Software and Applications,v1
IAB-Category,sr_songwriters_folk,Music,Songwriters/Folk,,,N/A,10/3/24,New,,Music | Songwriters/Folk,v1
IAB-Category,"sr_soundtracks,tvandshowtunes",Music,"Soundtracks, TV and Showtunes",,,N/A,10/3/24,updated,,"Music | Soundtracks, TV and Showtunes",v1
IAB-Category,sr_southamericatravel,Travel,Travel Locations,South America Travel,,N/A,10/3/24,New,,Travel | Travel Locations | South America Travel,v1
IAB-Category,sr_spaceandastronomy,Science,Space and Astronomy,,,N/A,10/3/24,New,,Science | Space and Astronomy,v1
IAB-Category,sr_spamorharmfulcontent,Sensitive Topics,Spam or Harmful Content,,,N/A,10/3/24,New,,Sensitive Topics | Spam or Harmful Content,v1
IAB-Category,sr_spas,Travel,Travel Type,Spas,,N/A,10/3/24,New,,Travel | Travel Type | Spas,v1
IAB-Category,sr_specialeducation,Education,Special Education,,,N/A,10/3/24,New,,Education | Special Education,v1
IAB-Category,sr_specialinterest_lp_indie_arthouse_rp_,Genres,Special Interest (Indie/Art House),,,N/A,10/3/24,updated,,Genres | Special Interest (Indie/Art House),v1
IAB-Category,sr_specialneedskids,Family and Relationships,Parenting,Special Needs Kids,,N/A,10/3/24,New,,Family and Relationships | Parenting | Special Needs Kids,v1
IAB-Category,sr_spirituality,Religion & Spirituality,Spirituality,,,N/A,10/3/24,New,,Religion & Spirituality | Spirituality,v1
IAB-Category,sr_sports,Sports,,,,N/A,10/3/24,New,,Sports,v1
IAB-Category,sr_sportsequipment,Sports,Sports Equipment,,,N/A,10/3/24,New,,Sports | Sports Equipment,v1
IAB-Category,sr_sportsradio,Genres,Sports Radio,,,N/A,10/3/24,New,,Genres | Sports Radio,v1
IAB-Category,sr_sportsvideogames,Video Gaming,Video Game Genres,Sports Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Sports Video Games,v1
IAB-Category,sr_squash,Sports,Squash,,,N/A,10/3/24,New,,Sports | Squash,v1
IAB-Category,sr_stampsandcoins,Hobbies & Interests,Collecting,Stamps and Coins,,N/A,10/3/24,New,,Hobbies & Interests | Collecting | Stamps and Coins,v1
IAB-Category,sr_standardizedtesting,Education,Educational Assessment,Standardized Testing,,N/A,10/3/24,New,,Education | Educational Assessment | Standardized Testing,v1
IAB-Category,sr_startups,Business and Finance,Business,Startups,,N/A,10/3/24,New,,Business and Finance | Business | Startups,v1
IAB-Category,sr_stationwagon,Automotive,Auto Body Styles,Station Wagon,,N/A,10/3/24,New,,Automotive | Auto Body Styles | Station Wagon,v1
IAB-Category,sr_stocksandbonds,Personal Finance,Personal Investing,Stocks and Bonds,,N/A,10/3/24,New,,Personal Finance | Personal Investing | Stocks and Bonds,v1
IAB-Category,sr_strategyvideogames,Video Gaming,Video Game Genres,Strategy Video Games,,N/A,10/3/24,New,,Video Gaming | Video Game Genres | Strategy Video Games,v1
IAB-Category,sr_streetstyle,Style & Fashion,Street Style,,,N/A,10/3/24,New,,Style & Fashion | Street Style,v1
IAB-Category,sr_studentfinancialaid,Personal Finance,Financial Assistance,Student Financial Aid,,N/A,10/3/24,New,,Personal Finance | Financial Assistance | Student Financial Aid,v1
IAB-Category,sr_studentloans,Personal Finance,Personal Debt,Student Loans,,N/A,10/3/24,New,,Personal Finance | Personal Debt | Student Loans,v1
IAB-Category,sr_style_and_fashion,Style & Fashion,,,,N/A,10/3/24,updated,,Style & Fashion,v1
IAB-Category,sr_substanceabuse,Medical Health,Diseases and Conditions,Substance Abuse,,N/A,10/3/24,New,,Medical Health | Diseases and Conditions | Substance Abuse,v1
IAB-Category,sr_summerolympicsports,Sports,Olympic Sports,Summer Olympic Sports,,N/A,10/3/24,New,,Sports | Olympic Sports | Summer Olympic Sports,v1
IAB-Category,sr_surfingandbodyboarding,Sports,Extreme Sports,Surfing and Bodyboarding,,N/A,10/3/24,New,,Sports | Extreme Sports | Surfing and Bodyboarding,v1
IAB-Category,sr_surgery,Medical Health,Surgery,,,N/A,10/3/24,New,,Medical Health | Surgery,v1
IAB-Category,sr_suv,Automotive,Auto Body Styles,SUV,,N/A,10/3/24,New,,Automotive | Auto Body Styles | SUV,v1
IAB-Category,sr_swimming,Sports,Swimming,,,N/A,10/3/24,New,,Sports | Swimming,v1
IAB-Category,sr_tabletennis,Sports,Table Tennis,,,N/A,10/3/24,New,,Sports | Table Tennis,v1
